flight,source,onset_kind,t_s,staleness_s,err_m,err_at_onset_m,gamma_cum_m_s,gamma_delta_m_s,gamma_inst_m_s,sats,hdop,noise_per_ms,fix_type,speed_m_s,accel_m_s2
gps_jamming,ekf,3x_noise_p95,192.49,15.4,5.7035,1.4945,0.3705,0.2734,-0.1115,14,0.71,148,3,1.048,4.782
gps_jamming,ekf,3x_noise_p95,192.59,15.5,5.6627,1.4945,0.3654,0.269,-0.1268,14,0.71,148,3,1.246,7.473
gps_jamming,ekf,3x_noise_p95,192.69,15.6,5.6223,1.4945,0.3605,0.2647,-0.1419,14,0.71,148,3,1.366,4.564
gps_jamming,ekf,3x_noise_p95,192.8,15.71,5.5798,1.4945,0.3553,0.2601,-0.1706,14,0.71,148,3,1.406,3.983
gps_jamming,ekf,3x_noise_p95,192.89,15.8,5.5454,1.4945,0.3511,0.2565,-0.1706,14,0.71,148,3,1.398,2.405
gps_jamming,ekf,3x_noise_p95,193.0,15.91,5.5126,1.4945,0.3466,0.2526,-0.1965,14,0.71,148,3,1.305,2.296
gps_jamming,ekf,3x_noise_p95,193.09,16.0,5.488,1.4945,0.3431,0.2497,-0.1965,14,0.71,148,3,1.175,2.887
gps_jamming,ekf,3x_noise_p95,193.19,16.1,5.4899,1.4945,0.3411,0.2482,-0.2088,14,0.71,148,3,0.937,11.131
gps_jamming,ekf,3x_noise_p95,193.3,16.21,5.4997,1.4945,0.3394,0.2471,-0.2324,14,0.71,148,3,0.678,1.219
gps_jamming,ekf,3x_noise_p95,193.39,16.3,5.5377,1.4945,0.3398,0.2481,-0.2324,14,0.71,158,3,0.426,7.896
gps_jamming,ekf,3x_noise_p95,193.5,16.41,5.5842,1.4945,0.3404,0.2493,-0.2545,14,0.71,158,3,0.185,0.516
gps_jamming,ekf,3x_noise_p95,193.59,16.5,5.6396,1.4945,0.3419,0.2513,-0.2545,14,0.71,158,3,0.047,10.249
gps_jamming,ekf,3x_noise_p95,193.7,16.61,5.6986,1.4945,0.3432,0.2532,-0.274,14,0.71,158,3,0.079,5.163
gps_jamming,ekf,3x_noise_p95,193.79,16.7,5.7495,1.4945,0.3444,0.2549,-0.274,14,0.71,158,3,0.098,4.164
gps_jamming,ekf,3x_noise_p95,193.89,16.8,5.7947,1.4945,0.345,0.256,-0.2826,14,0.71,158,3,0.06,4.267
gps_jamming,ekf,3x_noise_p95,194.0,16.91,5.8409,1.4945,0.3455,0.2571,-0.2972,14,0.71,158,3,0.059,4.042
gps_jamming,ekf,3x_noise_p95,194.09,17.0,5.8693,1.4945,0.3453,0.2574,-0.2972,14,0.71,158,3,0.05,3.115
gps_jamming,ekf,3x_noise_p95,194.2,17.11,5.89,1.4945,0.3443,0.257,-0.3082,14,0.71,158,3,0.034,5.34
gps_jamming,ekf,3x_noise_p95,194.29,17.2,5.9022,1.4945,0.3432,0.2563,-0.3082,14,0.71,158,3,0.02,9.023
gps_jamming,ekf,3x_noise_p95,194.4,17.31,5.9112,1.4945,0.3416,0.2552,-0.3167,14,0.71,147,3,0.148,4.977
gps_jamming,ekf,3x_noise_p95,194.49,17.4,5.9118,1.4945,0.3398,0.2539,-0.3167,14,0.71,147,3,0.289,4.565
gps_jamming,ekf,3x_noise_p95,194.6,17.51,5.9026,1.4945,0.3372,0.2518,-0.3241,14,0.71,147,3,0.447,7.572
gps_jamming,ekf,3x_noise_p95,194.7,17.61,5.8954,1.4945,0.3349,0.25,-0.3277,14,0.71,147,3,0.515,5.321
gps_jamming,ekf,3x_noise_p95,194.79,17.7,5.8889,1.4945,0.3328,0.2483,-0.3277,14,0.71,147,3,0.569,7.405
gps_jamming,ekf,3x_noise_p95,194.9,17.81,5.8828,1.4945,0.3304,0.2465,-0.3351,14,0.71,147,3,0.505,8.067
gps_jamming,ekf,3x_noise_p95,194.99,17.9,5.8669,1.4945,0.3278,0.2443,-0.3351,14,0.71,147,3,0.414,4.842
gps_jamming,ekf,3x_noise_p95,195.1,18.01,5.8416,1.4945,0.3244,0.2414,-0.3426,14,0.71,147,3,0.287,8.186
gps_jamming,ekf,3x_noise_p95,195.19,18.1,5.8046,1.4945,0.3208,0.2382,-0.3426,14,0.71,147,3,0.279,5.927
gps_jamming,ekf,3x_noise_p95,195.3,18.21,5.7619,1.4945,0.3165,0.2344,-0.3489,14,0.71,147,3,0.253,12.4
gps_jamming,ekf,3x_noise_p95,195.4,18.31,5.7119,1.4945,0.312,0.2304,-0.3509,14,0.71,147,3,0.382,2.434
gps_jamming,ekf,3x_noise_p95,195.49,18.4,5.6797,1.4945,0.3088,0.2275,-0.3509,14,0.71,147,3,0.489,11.133
gps_jamming,ekf,3x_noise_p95,195.6,18.51,5.6471,1.4945,0.3052,0.2244,-0.3517,14,0.71,147,3,0.649,4.483
gps_jamming,ekf,3x_noise_p95,195.69,18.6,5.6333,1.4945,0.3029,0.2226,-0.3517,14,0.71,147,3,0.737,6.46
gps_jamming,ekf,3x_noise_p95,195.8,18.71,5.6153,1.4945,0.3002,0.2203,-0.3486,14,0.71,147,3,0.728,2.454
gps_jamming,ekf,3x_noise_p95,195.89,18.8,5.6072,1.4945,0.2983,0.2188,-0.3486,14,0.71,147,3,0.666,10.886
gps_jamming,ekf,3x_noise_p95,196.0,18.91,5.5815,1.4945,0.2952,0.2162,-0.3435,14,0.71,147,3,0.589,4.525
gps_jamming,ekf,3x_noise_p95,196.1,19.01,5.555,1.4945,0.2923,0.2137,-0.3409,14,0.71,147,3,0.465,5.881
gps_jamming,ekf,3x_noise_p95,196.19,19.1,5.5008,1.4945,0.2881,0.2098,-0.3409,14,0.71,147,3,0.351,5.395
gps_jamming,ekf,3x_noise_p95,196.3,19.21,5.4418,1.4945,0.2834,0.2055,-0.3373,14,0.71,147,3,0.239,2.507
gps_jamming,ekf,3x_noise_p95,196.39,19.3,5.3756,1.4945,0.2786,0.2011,-0.3373,14,0.71,147,3,0.153,8.578
gps_jamming,ekf,3x_noise_p95,196.5,19.41,5.3031,1.4945,0.2733,0.1963,-0.3371,14,0.71,147,3,0.201,2.939
gps_jamming,ekf,3x_noise_p95,196.59,19.5,5.2197,1.4945,0.2677,0.1911,-0.3371,14,0.71,147,3,0.367,7.432
gps_jamming,ekf,3x_noise_p95,196.7,19.61,5.1296,1.4945,0.2616,0.1854,-0.3398,14,0.71,147,3,0.551,3.077
gps_jamming,ekf,3x_noise_p95,196.79,19.7,5.0355,1.4945,0.2557,0.1798,-0.3398,14,0.71,147,3,0.668,1.891
gps_jamming,ekf,3x_noise_p95,196.9,19.8,4.9413,1.4945,0.2495,0.174,-0.3396,14,0.71,147,3,0.762,5.36
gps_jamming,ekf,3x_noise_p95,197.0,19.9,4.8306,1.4945,0.2427,0.1676,-0.3445,14,0.71,147,3,0.731,4.075
gps_jamming,ekf,3x_noise_p95,197.09,19.99,4.7519,1.4945,0.2377,0.1629,-0.3445,14,0.71,147,3,0.645,7.844
gps_jamming,ekf,3x_noise_p95,197.2,20.1,4.6234,1.4945,0.23,0.1556,-0.3453,14,0.71,147,3,0.494,9.876
gps_jamming,ekf,3x_noise_p95,197.29,20.19,4.5381,1.4945,0.2247,0.1507,-0.3453,14,0.71,147,3,0.316,4.536
gps_jamming,ekf,3x_noise_p95,197.4,20.3,4.4125,1.4945,0.2173,0.1437,-0.3436,13,0.79,147,3,0.227,1.846
gps_jamming,ekf,3x_noise_p95,197.5,20.4,4.3228,1.4945,0.2119,0.1386,-0.3415,13,0.79,147,3,0.249,6.996
gps_jamming,ekf,3x_noise_p95,197.6,20.5,4.2431,1.4945,0.2069,0.134,-0.339,13,0.79,147,3,0.281,4.82
gps_jamming,ekf,3x_noise_p95,197.69,20.6,4.1795,1.4945,0.2029,0.1303,-0.3358,13,0.79,147,3,0.414,12.682
gps_jamming,ekf,3x_noise_p95,197.79,20.7,4.1165,1.4945,0.1989,0.1267,-0.3292,13,0.79,147,3,0.574,1.17
gps_jamming,ekf,3x_noise_p95,197.89,20.8,4.0455,1.4945,0.1945,0.1226,-0.3286,13,0.79,147,3,0.723,4.198
gps_jamming,ekf,3x_noise_p95,197.99,20.9,3.9531,1.4945,0.1891,0.1176,-0.3218,13,0.79,147,3,0.831,4.543
gps_jamming,ekf,3x_noise_p95,198.09,21.0,3.8583,1.4945,0.1837,0.1126,-0.3212,13,0.79,147,3,0.92,13.055
gps_jamming,ekf,3x_noise_p95,198.19,21.1,3.765,1.4945,0.1784,0.1076,-0.3178,13,0.79,147,3,0.931,1.263
gps_jamming,ekf,3x_noise_p95,198.29,21.2,3.6848,1.4945,0.1738,0.1033,-0.3119,13,0.79,147,3,0.852,5.784
gps_jamming,ekf,3x_noise_p95,198.39,21.3,3.6447,1.4945,0.1711,0.101,-0.3115,12,0.82,147,3,0.673,0.748
gps_jamming,ekf,3x_noise_p95,198.49,21.4,3.6214,1.4945,0.1692,0.0994,-0.307,12,0.82,147,3,0.442,8.554
gps_jamming,ekf,3x_noise_p95,198.59,21.5,3.6375,1.4945,0.1692,0.0997,-0.3062,12,0.82,147,3,0.273,5.649
gps_jamming,ekf,3x_noise_p95,198.69,21.6,3.6626,1.4945,0.1696,0.1004,-0.3032,12,0.82,147,3,0.149,3.413
gps_jamming,ekf,3x_noise_p95,198.79,21.7,3.695,1.4945,0.1703,0.1014,-0.3018,12,0.82,147,3,0.179,9.03
gps_jamming,ekf,3x_noise_p95,198.89,21.8,3.7177,1.4945,0.1705,0.102,-0.2997,12,0.82,147,3,0.234,6.437
gps_jamming,ekf,3x_noise_p95,198.99,21.9,3.714,1.4945,0.1696,0.1013,-0.2984,12,0.82,147,3,0.393,10.714
gps_jamming,ekf,3x_noise_p95,199.09,22.0,3.7073,1.4945,0.1685,0.1006,-0.2951,12,0.82,147,3,0.506,5.016
gps_jamming,ekf,3x_noise_p95,199.19,22.1,3.6834,1.4945,0.1667,0.099,-0.294,12,0.82,147,3,0.597,7.745
gps_jamming,ekf,3x_noise_p95,199.29,22.2,3.6466,1.4945,0.1643,0.0969,-0.2889,12,0.82,147,3,0.662,8.545
gps_jamming,ekf,3x_noise_p95,199.39,22.3,3.5466,1.4945,0.159,0.092,-0.2873,12,0.82,147,3,0.691,6.975
gps_jamming,ekf,3x_noise_p95,199.49,22.4,3.4462,1.4945,0.1539,0.0871,-0.2801,12,0.82,147,3,0.691,1.174
gps_jamming,ekf,3x_noise_p95,199.59,22.5,3.3375,1.4945,0.1483,0.0819,-0.2775,12,0.82,147,3,0.74,4.629
gps_jamming,ekf,3x_noise_p95,199.69,22.6,3.2304,1.4945,0.1429,0.0768,-0.2715,12,0.82,147,3,0.856,2.97
gps_jamming,ekf,3x_noise_p95,199.79,22.7,3.1355,1.4945,0.1381,0.0723,-0.2613,12,0.82,147,3,0.966,4.76
gps_jamming,ekf,3x_noise_p95,199.89,22.8,3.0382,1.4945,0.1333,0.0677,-0.2577,12,0.82,147,3,1.029,8.607
gps_jamming,ekf,3x_noise_p95,199.99,22.9,2.9731,1.4945,0.1298,0.0646,-0.246,12,0.82,147,3,1.026,2.518
gps_jamming,ekf,3x_noise_p95,200.09,23.0,2.9067,1.4945,0.1264,0.0614,-0.2425,12,0.82,147,3,0.977,3.49
gps_jamming,ekf,3x_noise_p95,200.19,23.1,2.8847,1.4945,0.1249,0.0602,-0.2303,12,0.82,147,3,0.913,4.669
gps_jamming,ekf,3x_noise_p95,200.29,23.2,2.8737,1.4945,0.1239,0.0594,-0.2272,12,0.82,147,3,0.86,5.163
gps_jamming,ekf,3x_noise_p95,200.39,23.3,2.9135,1.4945,0.125,0.0609,-0.2196,13,0.74,147,3,0.892,6.596
gps_jamming,ekf,3x_noise_p95,200.49,23.4,2.9656,1.4945,0.1267,0.0629,-0.207,13,0.74,147,3,1.062,1.686
gps_jamming,ekf,3x_noise_p95,200.59,23.5,3.0644,1.4945,0.1304,0.0668,-0.2043,13,0.74,147,3,1.276,6.497
gps_jamming,ekf,3x_noise_p95,200.69,23.6,3.1697,1.4945,0.1343,0.071,-0.1907,13,0.74,147,3,1.459,6.738
gps_jamming,ekf,3x_noise_p95,200.79,23.7,3.2821,1.4945,0.1385,0.0754,-0.1878,13,0.74,147,3,1.543,2.989
gps_jamming,ekf,3x_noise_p95,200.89,23.8,3.3958,1.4945,0.1427,0.0799,-0.173,13,0.74,147,3,1.562,5.375
gps_jamming,ekf,3x_noise_p95,200.99,23.9,3.5027,1.4945,0.1466,0.084,-0.1704,13,0.74,147,3,1.458,1.775
gps_jamming,ekf,3x_noise_p95,201.09,24.0,3.5958,1.4945,0.1498,0.0876,-0.1617,13,0.74,147,3,1.306,6.741
gps_jamming,ekf,3x_noise_p95,201.19,24.1,3.6442,1.4945,0.1512,0.0892,-0.1466,13,0.74,147,3,1.028,4.144
gps_jamming,ekf,3x_noise_p95,201.29,24.2,3.6597,1.4945,0.1512,0.0895,-0.1453,13,0.74,147,3,0.796,11.698
gps_jamming,ekf,3x_noise_p95,201.39,24.3,3.6103,1.4945,0.1486,0.0871,-0.1311,14,0.71,157,3,0.77,5.874
gps_jamming,ekf,3x_noise_p95,201.49,24.4,3.5374,1.4945,0.145,0.0837,-0.1308,14,0.71,157,3,0.857,6.999
gps_jamming,ekf,3x_noise_p95,201.59,24.5,3.4639,1.4945,0.1414,0.0804,-0.1178,14,0.71,157,3,0.98,3.272
gps_jamming,ekf,3x_noise_p95,201.69,24.6,3.3724,1.4945,0.1371,0.0763,-0.1182,14,0.71,157,3,1.079,4.835
gps_jamming,ekf,3x_noise_p95,201.79,24.7,3.3286,1.4945,0.1348,0.0743,-0.1066,14,0.71,157,3,1.091,5.189
gps_jamming,ekf,3x_noise_p95,201.89,24.8,3.2697,1.4945,0.1319,0.0716,-0.1073,14,0.71,157,3,1.102,3.446
gps_jamming,ekf,3x_noise_p95,201.99,24.9,3.2823,1.4945,0.1318,0.0718,-0.1025,14,0.71,157,3,1.078,7.904
gps_jamming,ekf,3x_noise_p95,202.09,25.0,3.2865,1.4945,0.1315,0.0717,-0.093,14,0.71,157,3,1.043,5.933
gps_jamming,ekf,3x_noise_p95,202.19,25.1,3.34,1.4945,0.1331,0.0735,-0.0938,14,0.71,157,3,1.05,7.208
gps_jamming,ekf,3x_noise_p95,202.29,25.2,3.4119,1.4945,0.1354,0.0761,-0.0858,14,0.71,157,3,1.203,6.823
gps_jamming,ekf,3x_noise_p95,202.39,25.3,3.51,1.4945,0.1387,0.0797,-0.0864,14,0.71,157,3,1.495,5.932
gps_jamming,ekf,3x_noise_p95,202.49,25.4,3.6395,1.4945,0.1433,0.0845,-0.083,14,0.71,157,3,1.733,3.839
gps_jamming,ekf,3x_noise_p95,202.59,25.5,3.7284,1.4945,0.1462,0.0876,-0.0795,14,0.71,157,3,1.865,4.248
gps_jamming,ekf,3x_noise_p95,202.69,25.6,3.8467,1.4945,0.1503,0.0919,-0.0759,14,0.71,157,3,1.954,1.821
gps_jamming,ekf,3x_noise_p95,202.79,25.7,3.8841,1.4945,0.1511,0.093,-0.0719,14,0.71,157,3,1.917,5.785
gps_jamming,ekf,3x_noise_p95,202.89,25.8,3.9417,1.4945,0.1528,0.0949,-0.0678,14,0.71,157,3,1.82,4.046
gps_jamming,ekf,3x_noise_p95,202.99,25.9,3.9204,1.4945,0.1514,0.0937,-0.0636,14,0.71,157,3,1.625,2.345
gps_jamming,ekf,3x_noise_p95,203.09,26.0,3.9285,1.4945,0.1511,0.0936,-0.0595,14,0.71,157,3,1.373,7.285
gps_jamming,ekf,3x_noise_p95,203.19,26.1,3.8452,1.4945,0.1473,0.0901,-0.0557,14,0.71,157,3,1.1,5.593
gps_jamming,ekf,3x_noise_p95,203.29,26.2,3.7862,1.4945,0.1445,0.0875,-0.0523,14,0.71,157,3,0.803,7.863
gps_jamming,ekf,3x_noise_p95,203.39,26.3,3.6552,1.4945,0.139,0.0822,-0.0497,14,0.71,157,3,0.565,8.814
gps_jamming,ekf,3x_noise_p95,203.49,26.4,3.5439,1.4945,0.1342,0.0776,-0.0476,14,0.71,157,3,0.522,4.557
gps_jamming,ekf,3x_noise_p95,203.59,26.5,3.3897,1.4945,0.1279,0.0715,-0.0463,14,0.71,157,3,0.621,6.693
gps_jamming,ekf,3x_noise_p95,203.69,26.6,3.2561,1.4945,0.1224,0.0662,-0.0455,14,0.71,157,3,0.729,5.946
gps_jamming,ekf,3x_noise_p95,203.79,26.7,3.1176,1.4945,0.1168,0.0608,-0.0447,14,0.71,157,3,0.812,4.199
gps_jamming,ekf,3x_noise_p95,203.89,26.8,3.0102,1.4945,0.1123,0.0566,-0.0441,14,0.71,157,3,0.843,11.594
gps_jamming,ekf,3x_noise_p95,203.99,26.9,2.9281,1.4945,0.1089,0.0533,-0.0437,14,0.71,157,3,0.83,3.365
gps_jamming,ekf,3x_noise_p95,204.09,27.0,2.8782,1.4945,0.1066,0.0513,-0.0433,14,0.71,157,3,0.756,6.355
gps_jamming,ekf,3x_noise_p95,204.19,27.1,2.8653,1.4945,0.1057,0.0506,-0.0431,14,0.71,157,3,0.707,4.225
gps_jamming,ekf,3x_noise_p95,204.29,27.2,2.8827,1.4945,0.106,0.051,-0.0431,14,0.71,157,3,0.725,3.407
gps_jamming,ekf,3x_noise_p95,204.39,27.3,2.9234,1.4945,0.1071,0.0523,-0.0418,14,0.71,157,3,0.807,5.795
gps_jamming,ekf,3x_noise_p95,204.49,27.4,2.9911,1.4945,0.1092,0.0546,-0.0445,14,0.71,157,3,0.943,8.665
gps_jamming,ekf,3x_noise_p95,204.59,27.5,3.0661,1.4945,0.1115,0.0572,-0.0465,14,0.71,157,3,1.009,4.412
gps_jamming,ekf,3x_noise_p95,204.69,27.6,3.1548,1.4945,0.1143,0.0602,-0.0493,14,0.71,157,3,1.03,1.094
gps_jamming,ekf,3x_noise_p95,204.79,27.7,3.2015,1.4945,0.1156,0.0616,-0.053,14,0.71,157,3,0.947,8.478
gps_jamming,ekf,3x_noise_p95,204.89,27.8,3.2555,1.4945,0.1171,0.0634,-0.0575,14,0.71,157,3,0.861,2.995
gps_jamming,ekf,3x_noise_p95,204.99,27.9,3.2562,1.4945,0.1167,0.0631,-0.0628,14,0.71,157,3,0.724,2.419
gps_jamming,ekf,3x_noise_p95,205.09,28.0,3.2613,1.4945,0.1165,0.0631,-0.0659,14,0.71,157,3,0.659,7.801
gps_jamming,ekf,3x_noise_p95,205.19,28.1,3.2308,1.4945,0.115,0.0618,-0.0747,14,0.71,157,3,0.634,4.988
gps_jamming,ekf,3x_noise_p95,205.29,28.2,3.213,1.4945,0.1139,0.0609,-0.0787,14,0.71,157,3,0.704,5.982
gps_jamming,ekf,3x_noise_p95,205.39,28.3,3.1925,1.4945,0.1128,0.06,-0.0874,14,0.71,157,3,0.781,9.174
gps_jamming,ekf,3x_noise_p95,205.49,28.4,3.1928,1.4945,0.1124,0.0598,-0.0937,14,0.71,157,3,0.822,2.275
gps_jamming,ekf,3x_noise_p95,205.59,28.5,3.2068,1.4945,0.1125,0.0601,-0.0997,14,0.71,157,3,0.834,6.485
gps_jamming,ekf,3x_noise_p95,205.69,28.6,3.2383,1.4945,0.1132,0.061,-0.1053,14,0.71,157,3,0.844,1.051
gps_jamming,ekf,3x_noise_p95,205.79,28.7,3.2574,1.4945,0.1135,0.0614,-0.1082,14,0.71,157,3,0.771,1.726
gps_jamming,ekf,3x_noise_p95,205.89,28.8,3.2797,1.4945,0.1139,0.062,-0.115,14,0.71,157,3,0.666,10.014
gps_jamming,ekf,3x_noise_p95,205.99,28.9,3.2546,1.4945,0.1126,0.0609,-0.1168,14,0.71,157,3,0.462,5.433
gps_jamming,ekf,3x_noise_p95,206.09,29.0,3.2273,1.4945,0.1113,0.0598,-0.123,14,0.71,157,3,0.329,7.452
gps_jamming,ekf,3x_noise_p95,206.19,29.1,3.1589,1.4945,0.1086,0.0572,-0.1264,14,0.71,157,3,0.286,8.911
gps_jamming,ekf,3x_noise_p95,206.29,29.2,3.0946,1.4945,0.106,0.0548,-0.1295,14,0.71,157,3,0.343,5.398
gps_jamming,ekf,3x_noise_p95,206.39,29.3,3.0212,1.4945,0.1031,0.0521,-0.1325,14,0.71,157,3,0.368,3.652
gps_jamming,ekf,3x_noise_p95,206.49,29.4,2.9585,1.4945,0.1006,0.0498,-0.133,14,0.71,157,3,0.384,9.796
gps_jamming,ekf,3x_noise_p95,206.59,29.5,2.8982,1.4945,0.0983,0.0476,-0.1396,14,0.71,157,3,0.315,7.251
gps_jamming,ekf,3x_noise_p95,206.69,29.6,2.8549,1.4945,0.0965,0.046,-0.141,14,0.71,157,3,0.226,5.797
gps_jamming,ekf,3x_noise_p95,206.79,29.7,2.8245,1.4945,0.0951,0.0448,-0.1491,14,0.71,157,3,0.112,6.192
gps_jamming,ekf,3x_noise_p95,206.89,29.8,2.8073,1.4945,0.0942,0.0441,-0.1514,14,0.71,157,3,0.04,14.558
gps_jamming,ekf,3x_noise_p95,206.99,29.9,2.7947,1.4945,0.0935,0.0435,-0.1613,14,0.71,157,3,0.013,9.821
gps_jamming,ekf,3x_noise_p95,207.09,30.0,2.7902,1.4945,0.093,0.0432,-0.1681,14,0.71,157,3,0.04,13.92
gps_jamming,ekf,3x_noise_p95,207.19,30.1,2.7936,1.4945,0.0928,0.0432,-0.1753,14,0.71,157,3,0.054,4.544
gps_jamming,ekf,3x_noise_p95,207.29,30.2,2.8068,1.4945,0.0929,0.0435,-0.1827,14,0.71,157,3,0.157,8.755
gps_jamming,ekf,3x_noise_p95,207.39,30.3,2.8413,1.4945,0.0938,0.0445,-0.1849,14,0.71,156,3,0.287,1.007
gps_jamming,ekf,3x_noise_p95,207.49,30.4,2.8912,1.4945,0.0951,0.0459,-0.1968,14,0.71,156,3,0.471,0.33
gps_jamming,ekf,3x_noise_p95,207.59,30.5,2.9661,1.4945,0.0973,0.0483,-0.1977,14,0.71,156,3,0.626,2.582
gps_jamming,ekf,3x_noise_p95,207.69,30.6,3.0502,1.4945,0.0997,0.0508,-0.2083,14,0.71,156,3,0.723,7.518
gps_jamming,ekf,3x_noise_p95,207.79,30.7,3.137,1.4945,0.1022,0.0535,-0.2128,14,0.71,156,3,0.764,3.292
gps_jamming,ekf,3x_noise_p95,207.89,30.8,3.2187,1.4945,0.1045,0.056,-0.2168,14,0.71,156,3,0.718,8.205
gps_jamming,ekf,3x_noise_p95,207.99,30.9,3.284,1.4945,0.1063,0.0579,-0.2201,14,0.71,156,3,0.673,1.046
gps_jamming,ekf,3x_noise_p95,208.09,31.0,3.3395,1.4945,0.1077,0.0595,-0.2192,14,0.71,156,3,0.569,2.058
gps_jamming,ekf,3x_noise_p95,208.19,31.1,3.3741,1.4945,0.1085,0.0604,-0.2252,14,0.71,156,3,0.453,4.333
gps_jamming,ekf,3x_noise_p95,208.29,31.2,3.3926,1.4945,0.1087,0.0608,-0.2246,14,0.71,156,3,0.285,12.37
gps_jamming,ekf,3x_noise_p95,208.39,31.3,3.335,1.4945,0.1066,0.0588,-0.2296,12,0.77,146,3,0.14,13.704
gps_jamming,ekf,3x_noise_p95,208.49,31.4,3.2767,1.4945,0.1044,0.0568,-0.232,12,0.77,146,3,0.138,2.989
gps_jamming,ekf,3x_noise_p95,208.59,31.5,3.1679,1.4945,0.1006,0.0531,-0.2329,12,0.77,146,3,0.191,9.976
gps_jamming,ekf,3x_noise_p95,208.7,31.61,3.0675,1.4945,0.0971,0.0498,-0.2411,12,0.77,146,3,0.257,2.735
gps_jamming,ekf,3x_noise_p95,208.79,31.7,2.9872,1.4945,0.0942,0.0471,-0.2411,12,0.77,146,3,0.239,7.21
gps_jamming,ekf,3x_noise_p95,208.89,31.8,2.9208,1.4945,0.0919,0.0449,-0.2475,12,0.77,146,3,0.18,2.575
gps_jamming,ekf,3x_noise_p95,208.99,31.9,2.8661,1.4945,0.0899,0.043,-0.2516,12,0.77,146,3,0.11,2.112
gps_jamming,ekf,3x_noise_p95,209.09,32.0,2.8293,1.4945,0.0884,0.0417,-0.2568,12,0.77,146,3,0.057,0.661
gps_jamming,ekf,3x_noise_p95,209.19,32.1,2.7992,1.4945,0.0872,0.0406,-0.2617,12,0.77,146,3,0.022,9.952
gps_jamming,ekf,3x_noise_p95,209.29,32.2,2.775,1.4945,0.0862,0.0398,-0.2659,12,0.77,146,3,0.055,3.372
gps_jamming,ekf,3x_noise_p95,209.4,32.31,2.7228,1.4945,0.0843,0.038,-0.2722,12,0.77,147,3,0.065,3.086
gps_jamming,ekf,3x_noise_p95,209.49,32.4,2.6867,1.4945,0.0829,0.0368,-0.2722,12,0.77,147,3,0.093,3.267
gps_jamming,ekf,3x_noise_p95,209.59,32.5,2.6254,1.4945,0.0808,0.0348,-0.2748,12,0.77,147,3,0.117,5.979
gps_jamming,ekf,3x_noise_p95,209.69,32.6,2.5715,1.4945,0.0789,0.033,-0.2776,12,0.77,147,3,0.149,8.076
gps_jamming,ekf,3x_noise_p95,209.79,32.7,2.5078,1.4945,0.0767,0.031,-0.2803,12,0.77,147,3,0.214,7.064
gps_jamming,ekf,3x_noise_p95,209.89,32.8,2.4559,1.4945,0.0749,0.0293,-0.2836,12,0.77,147,3,0.183,5.965
gps_jamming,ekf,3x_noise_p95,209.99,32.9,2.4044,1.4945,0.0731,0.0277,-0.2872,12,0.77,147,3,0.178,9.541
gps_jamming,ekf,3x_noise_p95,210.1,33.01,2.3719,1.4945,0.0719,0.0266,-0.2956,12,0.77,147,3,0.176,5.24
gps_jamming,ekf,3x_noise_p95,210.19,33.1,2.3652,1.4945,0.0715,0.0263,-0.2956,12,0.77,147,3,0.231,3.132
gps_jamming,ekf,3x_noise_p95,210.3,33.21,2.3553,1.4945,0.0709,0.0259,-0.304,12,0.77,147,3,0.29,2.417
gps_jamming,ekf,3x_noise_p95,210.39,33.3,2.3366,1.4945,0.0702,0.0253,-0.304,12,0.77,146,3,0.356,6.889
gps_jamming,ekf,3x_noise_p95,210.49,33.4,2.3131,1.4945,0.0693,0.0245,-0.3078,12,0.77,146,3,0.372,4.212
gps_jamming,ekf,3x_noise_p95,210.59,33.5,2.2821,1.4945,0.0681,0.0235,-0.3114,12,0.77,146,3,0.433,9.005
gps_jamming,ekf,3x_noise_p95,210.69,33.6,2.2487,1.4945,0.0669,0.0224,-0.3144,12,0.77,146,3,0.483,9.438
gps_jamming,ekf,3x_noise_p95,210.8,33.71,2.1975,1.4945,0.0652,0.0209,-0.319,12,0.77,146,3,0.536,7.995
gps_jamming,ekf,3x_noise_p95,210.89,33.8,2.1494,1.4945,0.0636,0.0194,-0.319,12,0.77,146,3,0.61,9.1
gps_jamming,ekf,3x_noise_p95,211.0,33.91,2.0789,1.4945,0.0613,0.0172,-0.3222,12,0.77,146,3,0.628,10.923
gps_jamming,ekf,3x_noise_p95,211.09,34.0,2.0274,1.4945,0.0596,0.0157,-0.3222,12,0.77,146,3,0.518,8.717
gps_jamming,ekf,3x_noise_p95,211.19,34.1,1.9758,1.4945,0.0579,0.0141,-0.3237,12,0.77,146,3,0.369,8.838
gps_jamming,ekf,3x_noise_p95,211.29,34.2,1.9388,1.4945,0.0567,0.013,-0.3253,12,0.77,146,3,0.289,6.517
gps_jamming,ekf,3x_noise_p95,211.39,34.3,1.8957,1.4945,0.0553,0.0117,-0.3272,13,0.73,146,3,0.195,2.434
gps_jamming,ekf,3x_noise_p95,211.5,34.41,1.8578,1.4945,0.054,0.0106,-0.3316,13,0.73,146,3,0.2,11.154
gps_jamming,ekf,3x_noise_p95,211.59,34.5,1.8182,1.4945,0.0527,0.0094,-0.3316,13,0.73,146,3,0.233,8.102
gps_jamming,ekf,3x_noise_p95,211.7,34.61,1.7631,1.4945,0.0509,0.0078,-0.337,13,0.73,146,3,0.437,2.891
gps_jamming,ekf,3x_noise_p95,211.79,34.7,1.6939,1.4945,0.0488,0.0057,-0.337,13,0.73,146,3,0.637,3.938
